store_code,showroom,distribution_carton,box_status,total_qty,item_lines
002,002 - Unaizah - Almoosa - MAATC,002-S-20,Closed,102,27
004,004 - Alras - Almoosa - MAATC,004-S-13,Closed,102,27
006,006 - Alhfof - Almoosa - MAATC,006-A-02,Closed,2,1
006,006 - Alhfof - Almoosa - MAATC,006-A-03,Closed,63,43
006,006 - Alhfof - Almoosa - MAATC,006-A-04,Closed,79,42
006,006 - Alhfof - Almoosa - MAATC,006-A-05,Closed,10,5
006,006 - Alhfof - Almoosa - MAATC,006-A-06,Open,3,1
006,006 - Alhfof - Almoosa - MAATC,006-J-01,Closed,63,37
006,006 - Alhfof - Almoosa - MAATC,006-J-02,Closed,50,37
006,006 - Alhfof - Almoosa - MAATC,006-J-03,Closed,37,23
006,006 - Alhfof - Almoosa - MAATC,006-U-1,Open,28,16
006,006 - Alhfof - Almoosa - MAATC,006-U-10,Closed,77,46
006,006 - Alhfof - Almoosa - MAATC,006-U-11,Closed,12,5
006,006 - Alhfof - Almoosa - MAATC,006-U-12,Closed,12,5
006,006 - Alhfof - Almoosa - MAATC,006-U-13,Closed,12,5
006,006 - Alhfof - Almoosa - MAATC,006-U-14,Closed,55,34
006,006 - Alhfof - Almoosa - MAATC,006-U-20,Closed,201,43
006,006 - Alhfof - Almoosa - MAATC,006-U-21,Closed,46,23
006,006 - Alhfof - Almoosa - MAATC,006-U-22,Closed,21,11
006,006 - Alhfof - Almoosa - MAATC,006-U-8,Closed,92,53
006,006 - Alhfof - Almoosa - MAATC,006-U-9,Closed,84,47
007,007 - Buridah - Almoosa - MAATC,007-A-01,Closed,8,4
007,007 - Buridah - Almoosa - MAATC,007-A-02,Closed,62,42
007,007 - Buridah - Almoosa - MAATC,007-A-03,Closed,87,46
007,007 - Buridah - Almoosa - MAATC,007-A-06,Open,3,1
007,007 - Buridah - Almoosa - MAATC,007-J-01,Closed,62,36
007,007 - Buridah - Almoosa - MAATC,007-J-02,Closed,44,34
007,007 - Buridah - Almoosa - MAATC,007-J-03,Closed,35,21
