box_id,store_code,store_name,status,sorted_qty,created_by,created_on
002-S-20,002,002 - Unaizah - Almoosa - MAATC,Closed,102,PICKER4@ALMOOSA.COM.SA,Mon Sep 07 2026 17:
004-S-13,004,004 - Alras - Almoosa - MAATC,Closed,102,PICKER4@ALMOOSA.COM.SA,Mon Sep 07 2026 17:
006-U-20,006,006 - Alhfof - Almoosa - MAATC,Closed,201,PICKER4@ALMOOSA.COM.SA,Mon Sep 07 2026 17:
006-U-8,006,006 - Alhfof - Almoosa - MAATC,Closed,92,picker6@almoosa.com.sa,Thu Sep 10 2026 17:
006-U-9,006,006 - Alhfof - Almoosa - MAATC,Closed,84,PICKER6@ALMOOSA.COM.sa,Mon Sep 07 2026 08:
006-A-04,006,006 - Alhfof - Almoosa - MAATC,Closed,79,PICKER2@ALMOOSA.COM.SA,Sat Sep 12 2026 13:
006-U-10,006,006 - Alhfof - Almoosa - MAATC,Closed,77,picker6@almoosa.com.sa,Wed Sep 09 2026 10:
006-A-03,006,006 - Alhfof - Almoosa - MAATC,Closed,63,PICKER2@ALMOOSA.COM.SA,Thu Sep 10 2026 16:
006-J-01,006,006 - Alhfof - Almoosa - MAATC,Closed,63,PICKER5@ALMOOSA.COM.SA,Wed Sep 09 2026 10:
006-U-14,006,006 - Alhfof - Almoosa - MAATC,Closed,55,PICKER7@ALMOOSA.COM.SA,Sat Sep 12 2026 08:
006-J-02,006,006 - Alhfof - Almoosa - MAATC,Closed,50,PICKER5@ALMOOSA.COM.SA,Thu Sep 10 2026 14:
006-U-21,006,006 - Alhfof - Almoosa - MAATC,Closed,46,PICKER7@ALMOOSA.COM.SA,Thu Sep 10 2026 11:
006-J-03,006,006 - Alhfof - Almoosa - MAATC,Closed,37,PICKER5@ALMOOSA.COM.SA,Sat Sep 12 2026 16:
006-U-1,006,006 - Alhfof - Almoosa - MAATC,Open,28,PICKER4@ALMOOSA.COM.SA,Sat Sep 12 2026 17:
006-U-22,006,006 - Alhfof - Almoosa - MAATC,Closed,21,PICKER7@ALMOOSA.COM.SA,Sat Sep 12 2026 17:
006-U-11,006,006 - Alhfof - Almoosa - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Mon Sep 07 2026 14:
006-U-12,006,006 - Alhfof - Almoosa - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 11:
006-U-13,006,006 - Alhfof - Almoosa - MAATC,Closed,12,PICKER7@ALMOOSA.COM.SA,Tue Sep 08 2026 14:
006-A-05,006,006 - Alhfof - Almoosa - MAATC,Closed,10,PICKER11@ALMOOSA.COM.SA,Sun Sep 13 2026 10:
