store_code,store_name,item_code,to_qty,sorted_qty_excl_059,gap,status
WH-MAIN,WH-MAIN (putaway),336048,0.00,26.00,-26.00,OVER
WH-MAIN,WH-MAIN (putaway),336049,0.00,26.00,-26.00,OVER
WH-MAIN,WH-MAIN (putaway),336052,0.00,26.00,-26.00,OVER
WH-MAIN,WH-MAIN (putaway),336055,0.00,26.00,-26.00,OVER
WH-MAIN,WH-MAIN (putaway),336125,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336155,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336161,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336179,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336197,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336209,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336215,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336287,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336293,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336299,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336305,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336311,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336317,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336359,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336365,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336395,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336407,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336437,0.00,15.00,-15.00,OVER
WH-MAIN,WH-MAIN (putaway),336281,0.00,14.00,-14.00,OVER
WH-MAIN,WH-MAIN (putaway),336126,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336149,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336150,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336156,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336174,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336180,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336186,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336192,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336282,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336288,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336294,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336300,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336306,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336312,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336318,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336360,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336366,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336390,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336401,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336402,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336408,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336438,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336444,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336462,0.00,10.00,-10.00,OVER
WH-MAIN,WH-MAIN (putaway),336468,0.00,10.00,-10.00,OVER
007,007 - Buridah - Almoosa - MAATC,336054,9.00,0.00,9.00,SHORT
011,011 - Hail - Almoosa - MAATC,336054,9.00,0.00,9.00,SHORT
019,019 - Geel Alnaka - MAATC,336054,9.00,0.00,9.00,SHORT
028,028 - North of Buridah Almoosa - MAATC,336054,9.00,0.00,9.00,SHORT
035,035 - Lacali - MAATC,336053,9.00,0.00,9.00,SHORT
035,035 - Lacali - MAATC,336054,9.00,0.00,9.00,SHORT
035,035 - Lacali - MAATC,336056,9.00,0.00,9.00,SHORT
036,036 - Lacaly Dareen Mall - MAATC,336050,9.00,0.00,9.00,SHORT
036,036 - Lacaly Dareen Mall - MAATC,336053,9.00,0.00,9.00,SHORT
036,036 - Lacaly Dareen Mall - MAATC,336054,9.00,0.00,9.00,SHORT
036,036 - Lacaly Dareen Mall - MAATC,336056,9.00,0.00,9.00,SHORT
WH-MAIN,WH-MAIN (putaway),336124,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336148,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336154,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336160,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336166,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336178,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336184,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336190,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336196,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336202,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336214,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336280,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336286,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336292,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336298,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336304,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336310,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336316,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336358,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336364,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336394,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336400,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336406,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336466,0.00,9.00,-9.00,OVER
WH-MAIN,WH-MAIN (putaway),336467,0.00,9.00,-9.00,OVER
019,019 - Geel Alnaka - MAATC,336053,9.00,1.00,8.00,SHORT
035,035 - Lacali - MAATC,336050,9.00,1.00,8.00,SHORT
